"bench","solver","instance","ert"
"rbv2_xgboost","EA",41027,2.32934131736527
"rbv2_xgboost","RS",41027,5.49101796407186
"rbv2_xgboost","SM",24,1
"rbv2_xgboost","EA",24,1.4775011165699
"rbv2_xgboost","RS",24,312.639571237159
"rbv2_xgboost","OP",24,312.639571237159
"rbv2_xgboost","SM",4135,1
"rbv2_xgboost","OP",4135,1.88114184665909
"rbv2_xgboost","EA",4135,2.70986484779588
"rbv2_xgboost","RS",4135,3.38322596943287
"rbv2_xgboost","OP",23517,1
"rbv2_xgboost","SM",23517,2.18094218415418
"rbv2_xgboost","EA",23517,3.31905781584582
"rbv2_xgboost","RS",23517,14.4678800856531
"rbv2_xgboost","SM",1053,1
"rbv2_xgboost","EA",1053,1.0399864325017
"rbv2_xgboost","RS",1053,211.049973618753
"rbv2_xgboost","OP",1053,211.049973618753
"rbv2_xgboost","SM",1468,1
"rbv2_xgboost","EA",1468,1.00102876878422
"rbv2_xgboost","RS",1468,205.75375684315
"rbv2_xgboost","OP",1468,205.75375684315
"rbv2_xgboost","SM",312,1
"rbv2_xgboost","RS",312,219.625068632834
"rbv2_xgboost","EA",312,219.625068632834
"rbv2_xgboost","OP",312,219.625068632834
"rbv2_xgboost","SM",377,1
"rbv2_xgboost","RS",377,218.315075435656
"rbv2_xgboost","EA",377,218.315075435656
"rbv2_xgboost","OP",377,218.315075435656
"rbv2_xgboost","EA",1515,1
"rbv2_xgboost","OP",1515,1.01691568240247
"rbv2_xgboost","RS",1515,208.651589105406
"rbv2_xgboost","SM",1515,208.651589105406
"rbv2_xgboost","SM",18,1
"rbv2_xgboost","EA",18,1.38217176602352
"rbv2_xgboost","RS",18,285.088835717558
"rbv2_xgboost","OP",18,285.088835717558
"rbv2_xgboost","SM",1476,1
"rbv2_xgboost","OP",1476,1.14243323442136
"rbv2_xgboost","RS",1476,7.17507418397626
"rbv2_xgboost","EA",1476,9.63501483679525
"rbv2_xgboost","SM",1510,1
"rbv2_xgboost","RS",1510,218.946709934707
"rbv2_xgboost","EA",1510,218.946709934707
"rbv2_xgboost","OP",1510,218.946709934707
"rbv2_xgboost","OP",41162,1
"rbv2_xgboost","SM",41162,1.08653846153846
"rbv2_xgboost","EA",41162,3.59935897435897
"rbv2_xgboost","RS",41162,7.89423076923077
"rbv2_xgboost","SM",28,1
"rbv2_xgboost","EA",28,3.0235017626322
"rbv2_xgboost","RS",28,5.37485311398355
"rbv2_xgboost","OP",28,5.7497062279671
"rbv2_xgboost","SM",375,1
"rbv2_xgboost","OP",375,1.0376647834275
"rbv2_xgboost","RS",375,5.77024482109228
"rbv2_xgboost","EA",375,6.71751412429378
"rbv2_xgboost","RS",1464,1
"rbv2_xgboost","EA",1464,1.94297556095469
"rbv2_xgboost","SM",1464,1.95033585822495
"rbv2_xgboost","OP",1464,400.171502072317
"rbv2_xgboost","OP",40685,1
"rbv2_xgboost","SM",40685,1.25225225225225
"rbv2_xgboost","EA",40685,1.57657657657658
"rbv2_xgboost","RS",40685,4.59459459459459
"rbv2_xgboost","EA",40996,1
"rbv2_xgboost","OP",40996,1.26582278481013
"rbv2_xgboost","SM",40996,1.32911392405063
"rbv2_xgboost","RS",40996,3.94936708860759
"rbv2_xgboost","SM",41146,1
"rbv2_xgboost","EA",41146,1.07105618845337
"rbv2_xgboost","RS",41146,216.257964858081
"rbv2_xgboost","OP",41146,216.257964858081
"rbv2_xgboost","SM",41216,1
"rbv2_xgboost","OP",41216,1.22641509433962
"rbv2_xgboost","EA",41216,2.88679245283019
"rbv2_xgboost","RS",41216,5.32704402515723
"rbv2_xgboost","OP",40668,1
"rbv2_xgboost","SM",40668,1.07432432432432
"rbv2_xgboost","EA",40668,2.12837837837838
"rbv2_xgboost","RS",40668,5.43918918918919
"rbv2_xgboost","SM",41212,1
"rbv2_xgboost","RS",41212,213.569276534076
"rbv2_xgboost","EA",41212,213.569276534076
"rbv2_xgboost","OP",41212,213.569276534076
"rbv2_xgboost","OP",32,1
"rbv2_xgboost","SM",32,1.01079136690647
"rbv2_xgboost","EA",32,1.74460431654676
"rbv2_xgboost","RS",32,6.23741007194245
"rbv2_xgboost","SM",60,1
"rbv2_xgboost","EA",60,1.47526041666667
"rbv2_xgboost","RS",60,303.819444444444
"rbv2_xgboost","OP",60,303.819444444444
"rbv2_xgboost","SM",4538,1
"rbv2_xgboost","OP",4538,1.24463519313305
"rbv2_xgboost","EA",4538,3.16165951359084
"rbv2_xgboost","RS",4538,6.57010014306152
"rbv2_xgboost","SM",40496,1
"rbv2_xgboost","EA",40496,1.00628837759858
"rbv2_xgboost","RS",40496,207.146556188503
"rbv2_xgboost","OP",40496,207.146556188503
"rbv2_xgboost","SM",41150,1
"rbv2_xgboost","OP",41150,1.03428571428571
"rbv2_xgboost","EA",41150,1.78285714285714
"rbv2_xgboost","RS",41150,4.65142857142857
"rbv2_xgboost","SM",37,1
"rbv2_xgboost","RS",37,213.187147860515
"rbv2_xgboost","EA",37,213.187147860515
"rbv2_xgboost","OP",37,213.187147860515
"rbv2_xgboost","SM",46,1
"rbv2_xgboost","EA",46,1.04221476763032
"rbv2_xgboost","RS",46,211.073838151596
"rbv2_xgboost","OP",46,211.073838151596
"rbv2_xgboost","OP",554,1
"rbv2_xgboost","EA",554,1.2089552238806
"rbv2_xgboost","SM",554,1.56716417910448
"rbv2_xgboost","RS",554,4.65671641791045
"rbv2_xgboost","SM",1475,1
"rbv2_xgboost","EA",1475,4.48694029850746
"rbv2_xgboost","OP",1475,5.54626865671642
"rbv2_xgboost","RS",1475,8.97835820895522
"rbv2_xgboost","SM",1485,1
"rbv2_xgboost","RS",1485,229.630540861935
"rbv2_xgboost","EA",1485,229.630540861935
"rbv2_xgboost","OP",1485,229.630540861935
"rbv2_xgboost","SM",1501,1
"rbv2_xgboost","EA",1501,1.09403233475987
"rbv2_xgboost","RS",1501,221.905214772547
"rbv2_xgboost","OP",1501,221.905214772547
"rbv2_xgboost","SM",1111,1
"rbv2_xgboost","EA",1111,2.11795774647887
"rbv2_xgboost","OP",1111,2.52934272300469
"rbv2_xgboost","RS",1111,3.32863849765258
"rbv2_xgboost","SM",4534,1
"rbv2_xgboost","EA",4534,1.0608935128519
"rbv2_xgboost","RS",4534,214.198286413709
"rbv2_xgboost","OP",4534,214.198286413709
"rbv2_xgboost","SM",41168,1
"rbv2_xgboost","OP",41168,1.09395973154362
"rbv2_xgboost","EA",41168,1.38255033557047
"rbv2_xgboost","RS",41168,3.81208053691275
"rbv2_xgboost","OP",151,1
"rbv2_xgboost","SM",151,1.59791769955379
"rbv2_xgboost","EA",151,2.82102131879028
"rbv2_xgboost","RS",151,12.8215171046108
"rbv2_xgboost","SM",4154,1
"rbv2_xgboost","EA",4154,3.10125598860546
"rbv2_xgboost","OP",4154,3.36384824550045
"rbv2_xgboost","RS",4154,3.45979541628901
"rbv2_xgboost","SM",40978,1
"rbv2_xgboost","RS",40978,218.758545255674
"rbv2_xgboost","EA",40978,218.758545255674
"rbv2_xgboost","OP",40978,218.758545255674
"rbv2_xgboost","SM",40994,1
"rbv2_xgboost","RS",40994,213.764934916212
"rbv2_xgboost","EA",40994,213.764934916212
"rbv2_xgboost","OP",40994,213.764934916212
"rbv2_xgboost","SM",50,1
"rbv2_xgboost","EA",50,1.12877925877763
"rbv2_xgboost","RS",50,227.568270481144
"rbv2_xgboost","OP",50,227.568270481144
"rbv2_xgboost","SM",1478,1
"rbv2_xgboost","OP",1478,2.42857142857143
"rbv2_xgboost","EA",1478,2.49510763209393
"rbv2_xgboost","RS",1478,5.7279843444227
"rbv2_xgboost","SM",1486,1
"rbv2_xgboost","OP",1486,1.0567417373501
"rbv2_xgboost","EA",1486,2.05703422053232
"rbv2_xgboost","RS",1486,7.48318221702252
"rbv2_xgboost","SM",40498,1
"rbv2_xgboost","EA",40498,1.40589198036007
"rbv2_xgboost","OP",40498,1.62193126022913
"rbv2_xgboost","RS",40498,5.19476268412439
