"bench","solver","instance","ert"
"rbv2_xgboost","OP",23517,46.7
"rbv2_xgboost","SM",23517,101.85
"rbv2_xgboost","RS",1053,280000
"rbv2_xgboost","EA",1053,1379.75
"rbv2_xgboost","OP",1053,280000
"rbv2_xgboost","SM",1053,1326.7
"rbv2_xgboost","RS",1468,280000
"rbv2_xgboost","EA",1468,1362.25
"rbv2_xgboost","OP",1468,280000
"rbv2_xgboost","SM",1468,1360.85
"rbv2_xgboost","RS",312,280000
"rbv2_xgboost","EA",312,280000
"rbv2_xgboost","OP",312,280000
"rbv2_xgboost","SM",312,1274.9
"rbv2_xgboost","RS",377,280000
"rbv2_xgboost","EA",377,280000
"rbv2_xgboost","OP",377,280000
"rbv2_xgboost","SM",377,1282.55
"rbv2_xgboost","RS",1515,280000
"rbv2_xgboost","EA",1515,1341.95
"rbv2_xgboost","OP",1515,1364.65
"rbv2_xgboost","SM",1515,280000
"rbv2_xgboost","RS",18,280000
"rbv2_xgboost","EA",18,1357.5
"rbv2_xgboost","OP",18,280000
"rbv2_xgboost","SM",18,982.15
"rbv2_xgboost","RS",1476,120.9
"rbv2_xgboost","EA",1476,162.35
"rbv2_xgboost","OP",1476,19.25
"rbv2_xgboost","SM",1476,16.85
"rbv2_xgboost","RS",1510,280000
"rbv2_xgboost","EA",1510,280000
"rbv2_xgboost","OP",1510,280000
"rbv2_xgboost","SM",1510,1278.85
"rbv2_xgboost","RS",41162,123.15
"rbv2_xgboost","EA",41162,56.15
"rbv2_xgboost","OP",41162,15.6
"rbv2_xgboost","SM",41162,16.95
"rbv2_xgboost","RS",28,228.7
"rbv2_xgboost","EA",28,128.65
"rbv2_xgboost","OP",28,244.65
"rbv2_xgboost","SM",28,42.55
"rbv2_xgboost","RS",375,153.2
"rbv2_xgboost","EA",375,178.35
"rbv2_xgboost","OP",375,27.55
"rbv2_xgboost","SM",375,26.55
"rbv2_xgboost","RS",1464,699.7
"rbv2_xgboost","EA",1464,1359.5
"rbv2_xgboost","OP",1464,280000
"rbv2_xgboost","SM",1464,1364.65
"rbv2_xgboost","RS",40685,25.5
"rbv2_xgboost","EA",40685,8.75
"rbv2_xgboost","OP",40685,5.55
"rbv2_xgboost","SM",40685,6.95
"rbv2_xgboost","RS",40996,15.6
"rbv2_xgboost","EA",40996,3.95
"rbv2_xgboost","OP",40996,5
"rbv2_xgboost","SM",40996,5.25
"rbv2_xgboost","RS",41146,280000
"rbv2_xgboost","EA",41146,1386.75
"rbv2_xgboost","OP",41146,280000
"rbv2_xgboost","SM",41146,1294.75
"rbv2_xgboost","RS",41216,42.35
"rbv2_xgboost","EA",41216,22.95
"rbv2_xgboost","OP",41216,9.75
"rbv2_xgboost","SM",41216,7.95
"rbv2_xgboost","RS",40668,40.25
"rbv2_xgboost","EA",40668,15.75
"rbv2_xgboost","OP",40668,7.4
"rbv2_xgboost","SM",40668,7.95
"rbv2_xgboost","RS",41212,280000
"rbv2_xgboost","EA",41212,280000
"rbv2_xgboost","OP",41212,280000
"rbv2_xgboost","SM",41212,1311.05
"rbv2_xgboost","RS",32,86.7
"rbv2_xgboost","EA",32,24.25
"rbv2_xgboost","OP",32,13.9
"rbv2_xgboost","SM",32,14.05
"rbv2_xgboost","RS",60,280000
"rbv2_xgboost","EA",60,1359.6
"rbv2_xgboost","OP",60,280000
"rbv2_xgboost","SM",60,921.6
"rbv2_xgboost","RS",4538,459.25
"rbv2_xgboost","EA",4538,221
"rbv2_xgboost","OP",4538,87
"rbv2_xgboost","SM",4538,69.9
"rbv2_xgboost","RS",40496,280000
"rbv2_xgboost","EA",40496,1360.2
"rbv2_xgboost","OP",40496,280000
"rbv2_xgboost","SM",40496,1351.7
"rbv2_xgboost","RS",41150,40.7
"rbv2_xgboost","EA",41150,15.6
"rbv2_xgboost","OP",41150,9.05
"rbv2_xgboost","SM",41150,8.75
"rbv2_xgboost","RS",37,280000
"rbv2_xgboost","EA",37,280000
"rbv2_xgboost","OP",37,280000
"rbv2_xgboost","SM",37,1313.4
"rbv2_xgboost","RS",46,280000
"rbv2_xgboost","EA",46,1382.55
"rbv2_xgboost","OP",46,280000
"rbv2_xgboost","SM",46,1326.55
"rbv2_xgboost","RS",554,15.6
"rbv2_xgboost","EA",554,4.05
"rbv2_xgboost","OP",554,3.35
"rbv2_xgboost","SM",554,5.25
"rbv2_xgboost","RS",1475,1203.1
"rbv2_xgboost","EA",1475,601.25
"rbv2_xgboost","OP",1475,743.2
"rbv2_xgboost","SM",1475,134
"rbv2_xgboost","RS",1485,280000
"rbv2_xgboost","EA",1485,280000
"rbv2_xgboost","OP",1485,280000
"rbv2_xgboost","SM",1485,1219.35
"rbv2_xgboost","RS",1501,280000
"rbv2_xgboost","EA",1501,1380.45
"rbv2_xgboost","OP",1501,280000
"rbv2_xgboost","SM",1501,1261.8
"rbv2_xgboost","RS",1111,283.6
"rbv2_xgboost","EA",1111,180.45
"rbv2_xgboost","OP",1111,215.5
"rbv2_xgboost","SM",1111,85.2
"rbv2_xgboost","RS",4534,280000
"rbv2_xgboost","EA",4534,1386.8
"rbv2_xgboost","OP",4534,280000
"rbv2_xgboost","SM",4534,1307.2
"rbv2_xgboost","RS",41168,28.4
"rbv2_xgboost","EA",41168,10.3
"rbv2_xgboost","OP",41168,8.15
"rbv2_xgboost","SM",41168,7.45
"rbv2_xgboost","RS",151,1293.05
"rbv2_xgboost","EA",151,284.5
"rbv2_xgboost","OP",151,100.85
"rbv2_xgboost","SM",151,161.15
"rbv2_xgboost","RS",4154,1336
"rbv2_xgboost","EA",4154,1197.55
"rbv2_xgboost","OP",4154,1298.95
"rbv2_xgboost","SM",4154,386.15
"rbv2_xgboost","RS",40978,280000
"rbv2_xgboost","EA",40978,280000
"rbv2_xgboost","OP",40978,280000
"rbv2_xgboost","SM",40978,1279.95
"rbv2_xgboost","RS",40994,280000
"rbv2_xgboost","EA",40994,280000
"rbv2_xgboost","OP",40994,280000
"rbv2_xgboost","SM",40994,1309.85
"rbv2_xgboost","RS",50,280000
"rbv2_xgboost","EA",50,1388.85
"rbv2_xgboost","OP",50,280000
"rbv2_xgboost","SM",50,1230.4
"rbv2_xgboost","RS",1478,146.35
"rbv2_xgboost","EA",1478,63.75
"rbv2_xgboost","OP",1478,62.05
"rbv2_xgboost","SM",1478,25.55
"rbv2_xgboost","RS",1486,1279.25
"rbv2_xgboost","EA",1486,351.65
"rbv2_xgboost","OP",1486,180.65
"rbv2_xgboost","SM",1486,170.95
"rbv2_xgboost","RS",40498,158.7
"rbv2_xgboost","EA",40498,42.95
"rbv2_xgboost","OP",40498,49.55
"rbv2_xgboost","SM",40498,30.55
"rbv2_aknn","RS",41138,120000
"rbv2_aknn","EA",41138,557.65
"rbv2_aknn","OP",41138,564.6
"rbv2_aknn","SM",41138,255.3
"rbv2_aknn","RS",40981,120000
"rbv2_aknn","EA",40981,592.25
"rbv2_aknn","OP",40981,583.6
"rbv2_aknn","SM",40981,356.25
"rbv2_aknn","RS",4134,577.6
"rbv2_aknn","EA",4134,583.6
"rbv2_aknn","OP",4134,553.95
"rbv2_aknn","SM",4134,459.6
"rbv2_aknn","RS",40927,120000
"rbv2_aknn","EA",40927,598.3
"rbv2_aknn","OP",40927,565.55
"rbv2_aknn","SM",40927,431.15
"rbv2_aknn","RS",1220,120000
"rbv2_aknn","EA",1220,575.55
"rbv2_aknn","OP",1220,567.4
"rbv2_aknn","SM",1220,493.8
"rbv2_aknn","RS",4154,120000
"rbv2_aknn","EA",4154,567.6
"rbv2_aknn","OP",4154,537.95
"rbv2_aknn","SM",4154,214
"rbv2_aknn","RS",41163,120000
"rbv2_aknn","EA",41163,576.7
"rbv2_aknn","OP",41163,120000
"rbv2_aknn","SM",41163,383.35
"rbv2_aknn","RS",40996,120000
